S_name,S_detail,S_precaution,S_disease,S_doctor
Ear pain,"An earache is a sharp, dull, or burning pain in one or both ears. The pain may last a short time or be ongoing.","Apply a cold washcloth to the ear.
Avoid getting the ear wet.
Sit upright to help relieve ear pressure.
Use over-the-counter (OTC) ear drops.
Take OTC pain relievers.","Sinus infection,Hole in the eardrum.",otolaryngologist
Itching,Itchy skin is an irritating sensation that makes you want to scratch.,"Moisturize daily. ...
Treat the scalp. ...
Use creams, lotions or gels that soothe and cool the skin. ...
Avoid scratching. ...
Take a bath. ","dry skin (xerosis), eczema (dermatitis), psoriasis, scabies, parasites, burns, scars, insect bites and hives",Dermatologist
Mouth Ulcer,A mouth ulcer is the loss or erosion of the delicate lining tissue of the mouth (mucous membrane). ,"Practice good oral hygiene.
Eat a healthy diet.
Employ gentle brushing for your teeth and gums.
Get a good intake of vitamin B, C, and zinc.
Avoid very hot drinks and food.","crohn's ,Viral infection","Gastroenterologist (Crohns),General physican(Viral infection)"
Nose blooding,"A nosebleed happens when one of the blood vessels in the lining of the nose bursts. Nosebleeds may be caused by infection, injury, allergic reaction, nose picking or an object being pushed into the nostril. ","Not picking the nose
Pinch your nose
Pack your nose
Sit and lean forward
Breathe through your Mouth
Use a cold compress
Use a humidifier
Try nose spray","Nasal tumors.
Nasal polyps.
Immune thrombocytopenia.",otolaryngologist
Sore throat,"A sore throat is pain, scratchiness or irritation of the throat that often worsens when you swallow. The most common cause of a sore throat (pharyngitis) is a viral infection, ","Rest. Get plenty of sleep. ...
Drink fluids. Fluids keep the throat moist and prevent dehydration. ...
Try comforting foods and beverage. ...
Gargle with saltwater. ...
Humidify the air. ?","Tonsillitis
Influenza
Rheumatic fever",General physician
Toothache,Toothache refers to pain in and around the teeth and jaws that's usually caused by tooth decay. You may feel toothache in many ways. It can come and go or be constant.,"Rinse your mouth with warm water.
Use dental floss to remove any food particles or plaque wedged between your teeth.
Consider taking an over-the-counter (OTC) pain reliever to dull the ache,","Cavities.
Abscessed tooth.
Cracked tooth.",Dentist
Tinnitus,"Tinnitus is when you experience ringing or other noises in one or both of your ears. The noise you hear when you have tinnitus isn't caused by an external sound,","Use hearing protection. Over time, exposure to loud sounds can damage the nerves in the ears, causing hearing loss and tinnitus. ...
Turn down the volume. ...
Use white noise. ...
Limit alcohol, caffeine and nicotine.","High blood pressure, atherosclerosis"," cardiologist(High blood pressure),Neurologist(atherosclerosis)"
Urinary,"UTIs are common infections that happen when bacteria, often from the skin or rectum, enter the urethra, and infect the urinary tract.","Stay well hydrated.
Take showers instead of baths.
Minimize douching, sprays, or powders in the genital area.","Bladder infections ,kidney infection",Rheumatologists
Swelling,Swelling is any abnormal enlargement of a body part. It is typically the result of inflammation or a buildup of fluid.,"Elevate your legs when you are sitting or lying down.
If you have edema of the legs, wear support stockings. ...
Do not sit or stand for long periods of time without moving around.
Follow your doctor's advice about limiting how much salt you eat.","Congestive heart failure,
Liver damage,
Kidney disease","cardiologist(Heart failure), Hepatologists(Liver damage)"
Foot pain,"Pain in the foot can be a consequence of damage, pressure or rubbing over a long period of time.","Wear roomy footwear
Apply ice
Take a pain reliever
Proper stretching before activity
Maintain a healthy weight","Broken ankle.
Broken foot.
Broken toe.
Bunions.",orthopedic surgeon
Dizziness,"Dizziness is a term that describes a range of feelings, such as feeling unsteady, woozy, weak or faint. It is something that most people may experience from time to time. It is rarely the sign of a serious problem.","Avoid sudden head movements.
Focus on a stationary object while walking or whenever feeling dizzy.
Wear shoes with hard soles and low heels.
Avoid slippery or uneven surfaces when walking.","migraine, inflammation","Neurologist(migraine),inflammation(rheumatologist)"
Dehydration,"Dehydration occurs when your body loses more fluid than you take in. When the normal water content of your body is reduced, it upsets the balance of minerals (salts and sugar) in your body, ","Drink plenty of water, as directed by your doctor.
Eat foods with high amounts of water like fruits and vegetables.
Avoid or limit drinks with caffeine like coffee, teas and soft drinks.
Avoid or limit drinks with alcohol.","urinary tract infections, kidney stones and even kidney failure.",Rheumatologists
Constipation,"Constipation is a condition in which a person has uncomfortable or infrequent bowel movements. Generally, a person is considered to be constipated when bowel movements result in passage of small amounts of hard, dry stool, usually fewer than three times a week.","Eat lots of high-fiber foods, including vegetables, fruits, beans and whole-grain foods. Eat fewer foods with low amounts of fiber such as processed foods, dairy and meats. Drink plenty of fluids","irritable bowel syndrome (IBS)
diabetes.
hypercalcaemia ",General physician
catarrh,"Catarrh is a build-up of mucus in an airway or cavity of the body. It usually affects the back of the nose, the throat or the sinuses (air-filled cavities in the bones of the face).",Cover your mouth and nose when coughing or sneezing. Use tissues and throw them away. Wash your hands or use a hand sanitizer every time you touch your mouth or nose.,"Infections,Allergies, Gastroesophageal reflux disease","General physician(Infection,allergies),gastroenterologist(Gastroesophageal reflux disease)"
